[METADATA]
Parameter,Value
Total Population,155367
Total Simulation Days,1

[DEVICE_SUMMARY]
Device,TotalLitersConsumed,TotalUses
toilet,4050448.42,892956
shower,5854537.88,167885
wash_bassin,1855011.21,919179
wash_machine,2773152.00,19258
dish_washer,2992687.47,3862989
tanque,708924.69,178650

[PULSE_DATA]
horario_segundos,toilet,shower,wash_bassin,wash_machine,dish_washer,tanque,total
457,27.68,24.39,17.27,13.00,15.70,0.00,98.05
458,27.76,24.16,17.55,13.10,15.60,0.00,98.16
459,27.97,24.16,17.57,13.10,15.42,0.00,98.22
460,27.89,24.16,17.57,13.00,15.13,0.00,97.74
461,27.76,24.16,17.95,13.00,15.06,0.00,97.94
462,27.51,24.00,17.96,13.00,15.21,0.00,97.68
463,27.76,24.00,17.95,13.10,15.09,0.00,97.90
464,27.85,24.03,17.82,13.10,14.95,0.00,97.74
465,27.43,24.30,17.55,13.00,14.67,0.00,96.95
466,27.64,24.17,17.76,13.00,14.79,0.00,97.36
467,27.76,24.23,17.51,13.00,14.62,0.00,97.12
468,27.89,24.23,17.32,13.00,14.39,0.00,96.83
469,28.06,24.03,17.33,13.00,14.70,0.00,97.12
470,28.31,24.24,17.11,13.00,14.78,0.00,97.44
471,28.35,24.15,17.23,13.00,14.68,0.00,97.41
472,28.35,24.04,17.22,13.10,14.65,0.00,97.37
473,28.22,24.04,17.25,13.10,14.68,0.00,97.30
474,28.14,23.93,16.80,13.10,15.01,0.00,96.98
475,28.06,24.12,16.97,13.00,14.93,0.00,97.07
476,28.06,24.12,16.79,13.00,15.08,0.00,97.06
477,28.01,24.36,16.65,13.00,15.06,0.00,97.09
478,27.85,24.49,16.60,13.10,15.04,0.00,97.07
479,27.85,24.43,16.87,13.10,15.09,0.00,97.34
480,27.80,24.41,16.87,13.10,15.39,0.00,97.57
481,28.14,24.29,16.84,13.10,15.25,0.00,97.62
482,28.06,24.37,16.54,13.10,15.10,0.00,97.16
483,28.06,24.42,16.20,13.10,15.16,0.00,96.94
484,28.01,24.33,16.57,13.10,15.24,0.00,97.26
485,28.10,24.34,16.28,13.10,15.34,0.00,97.16
486,28.06,24.11,16.77,13.00,15.08,0.00,97.01
487,27.72,24.04,16.90,13.00,15.04,0.00,96.70
488,27.64,24.11,16.88,13.00,15.26,0.00,96.88
489,27.59,24.11,16.85,13.00,15.37,0.00,96.93
490,27.22,24.08,17.05,13.00,15.63,0.00,96.97
491,26.92,24.23,17.04,13.00,15.71,0.00,96.89
492,27.05,24.13,16.50,13.00,15.91,0.00,96.60
493,27.17,24.23,16.51,13.00,15.67,0.00,96.57
494,27.34,24.12,16.44,13.00,15.58,0.00,96.48
495,27.30,24.00,16.44,13.00,15.46,0.00,96.20
496,27.09,24.00,16.39,13.00,15.43,0.00,95.91
497,27.09,23.92,16.30,13.00,15.58,0.00,95.89
498,27.01,24.01,16.06,13.00,15.49,0.00,95.57
499,26.75,24.03,16.23,13.00,15.44,0.00,95.45
500,26.46,24.03,16.05,12.90,15.42,0.00,94.86
501,26.63,24.05,16.04,12.90,15.43,0.00,95.04
502,26.46,24.28,15.91,12.90,15.48,0.00,95.03
503,26.29,24.28,16.65,12.90,15.59,0.00,95.70
504,26.33,24.28,16.80,12.90,15.52,0.00,95.84
505,26.33,24.28,16.85,12.90,15.63,0.00,96.00
506,26.12,23.97,16.97,12.70,15.50,0.00,95.26
507,26.08,23.82,16.81,12.70,15.36,0.00,94.78
508,26.42,23.91,16.99,12.60,15.41,0.00,95.33
509,26.25,23.61,16.45,12.60,15.16,0.00,94.07
510,26.17,23.61,16.36,12.60,14.92,0.00,93.65
511,26.29,23.37,16.25,12.60,15.05,0.00,93.56
512,25.91,23.41,16.22,12.60,14.89,0.00,93.02
513,26.08,23.19,16.11,12.50,14.99,0.00,92.87
514,26.08,23.19,16.08,12.60,15.25,0.00,93.20
515,26.04,23.19,16.49,12.60,15.38,0.00,93.70
516,25.87,23.12,16.56,12.70,15.47,0.00,93.72
517,25.87,23.06,16.57,12.70,15.46,0.00,93.65
518,25.96,23.06,16.54,12.70,15.53,0.00,93.78
519,26.21,23.06,16.37,12.70,15.68,0.00,94.01
520,26.33,22.95,16.47,12.70,15.95,0.00,94.40
521,26.29,23.04,16.73,12.70,15.64,0.00,94.40
522,26.59,22.95,16.52,12.70,15.70,0.00,94.46
523,26.54,23.13,16.72,12.70,15.50,0.00,94.59
524,26.46,22.97,16.45,12.70,15.31,0.00,93.89
525,26.71,22.97,16.37,12.80,15.45,0.00,94.30
526,26.84,22.97,16.21,12.80,15.53,0.00,94.35
527,26.84,22.87,16.09,12.80,15.58,0.00,94.19
528,26.88,22.87,15.86,12.80,15.45,0.00,93.86
529,26.92,23.04,15.96,12.80,15.36,0.00,94.08
530,26.80,22.92,16.13,12.80,15.25,0.00,93.89
531,26.67,22.80,16.18,12.80,15.26,0.00,93.72
532,26.84,22.78,15.86,12.80,15.31,0.00,93.59
533,26.80,22.85,15.71,12.80,15.55,0.00,93.71
534,26.80,22.85,15.67,12.80,15.76,0.00,93.88
535,26.59,22.85,15.58,12.80,16.02,0.00,93.84
536,26.80,22.88,15.61,12.80,15.90,0.00,93.99
537,26.92,22.88,15.74,12.80,15.98,0.00,94.32
538,27.17,23.04,15.72,12.80,16.42,0.00,95.16
